id,full_name,description,owner_type,owner_url,owner_html_url,html_url,url,fork,created_at,updated_at,size,stargazers_count,language,has_issues,has_wiki,forks_count,forks,open_issues,watchers,timestamp_extract,commits,readme,contributors
29256552,CamaraDosDeputados/dados-abertos,"Repositório do serviço de Dados Abertos da Câmara. Consulte as ""Issues"" para atendimento a dúvidas e sugestões.",Organization,https://api.github.com/users/CamaraDosDeputados,https://github.com/CamaraDosDeputados,https://github.com/CamaraDosDeputados/dados-abertos,https://api.github.com/repos/CamaraDosDeputados/dados-abertos,False,2015-01-14T17:32:49Z,2019-11-05T21:58:29Z,6958,135,,True,True,7,7,203,135,1573082947,,,
39256926,dadosgovbr/catalogos-dados-brasil,Mapeamento de iniciativas (e catálogos) de dados abertos governamentais no Brasil.,Organization,https://api.github.com/users/dadosgovbr,https://github.com/dadosgovbr,https://github.com/dadosgovbr/catalogos-dados-brasil,https://api.github.com/repos/dadosgovbr/catalogos-dados-brasil,False,2015-07-17T14:02:34Z,2019-10-25T17:38:20Z,24,106,Python,True,True,34,34,0,106,1573082947,,,
73385196,prefeiturasp/dados-educacao,Análises e tutoriais das bases de dados abertos da Secretaria Municipal de Educação em formato aberto,Organization,https://api.github.com/users/prefeiturasp,https://github.com/prefeiturasp,https://github.com/prefeiturasp/dados-educacao,https://api.github.com/repos/prefeiturasp/dados-educacao,False,2016-11-10T13:35:40Z,2019-08-17T00:49:49Z,2737,48,Jupyter Notebook,True,True,18,18,1,48,1573082947,,,
49720381,dadosgovbr/aplicativos-dados-brasil,Mapeamento de aplicativos e visualizações que usam dados abertos governamentais no Brasil.,Organization,https://api.github.com/users/dadosgovbr,https://github.com/dadosgovbr,https://github.com/dadosgovbr/aplicativos-dados-brasil,https://api.github.com/repos/dadosgovbr/aplicativos-dados-brasil,False,2016-01-15T13:29:14Z,2019-06-16T17:26:35Z,2357,48,,True,True,9,9,1,48,1573082947,,,
20032900,dadosgovbr/kit,Kit de implementação do Plano de Dados Abertos,Organization,https://api.github.com/users/dadosgovbr,https://github.com/dadosgovbr,https://github.com/dadosgovbr/kit,https://api.github.com/repos/dadosgovbr/kit,False,2014-05-21T18:44:02Z,2019-09-19T19:56:14Z,2816,39,CSS,True,False,15,15,10,39,1573082947,,,
34538558,mapaslivres/localidades,Dados em formato aberto sobre municípios e unidades federativas do Brasil.,Organization,https://api.github.com/users/mapaslivres,https://github.com/mapaslivres,https://github.com/mapaslivres/localidades,https://api.github.com/repos/mapaslivres/localidades,False,2015-04-24T19:50:16Z,2019-10-02T19:55:42Z,6357,38,,True,False,14,14,6,38,1573082947,,,
198288124,odufrn/odufrn-downloader,Pacote para baixar os dados do portal de dados abertos da UFRN,Organization,https://api.github.com/users/odufrn,https://github.com/odufrn,https://github.com/odufrn/odufrn-downloader,https://api.github.com/repos/odufrn/odufrn-downloader,False,2019-07-22T19:19:52Z,2019-11-01T18:21:22Z,5088,29,Python,True,True,2,2,13,29,1573082947,,,
99498352,brasilopen/brasilopen,Projeto que reúne e padroniza os repositórios de dados abertos do Brasil.,Organization,https://api.github.com/users/brasilopen,https://github.com/brasilopen,https://github.com/brasilopen/brasilopen,https://api.github.com/repos/brasilopen/brasilopen,False,2017-08-06T16:14:08Z,2019-09-02T23:02:34Z,7,29,,True,True,2,2,6,29,1573082947,,,
23237993,vitorbaptista/dados-abertos-camara.gov.br,Dumps dos dados abertos disponíveis em http://www2.camara.leg.br/transparencia/dados-abertos,User,https://api.github.com/users/vitorbaptista,https://github.com/vitorbaptista,https://github.com/vitorbaptista/dados-abertos-camara.gov.br,https://api.github.com/repos/vitorbaptista/dados-abertos-camara.gov.br,False,2014-08-22T19:54:51Z,2019-07-15T11:07:09Z,20469,25,Python,True,True,3,3,0,25,1573082947,,,
4298345,jonny-data/conheca-seu-vereador,Desafio de Dados Abertos da Câmara Municipal de São Paulo,Organization,https://api.github.com/users/jonny-data,https://github.com/jonny-data,https://github.com/jonny-data/conheca-seu-vereador,https://api.github.com/repos/jonny-data/conheca-seu-vereador,False,2012-05-11T15:08:47Z,2019-10-11T21:14:49Z,1547,20,HTML,True,True,7,7,7,20,1573082947,,,
